run_id,timestamp_utc,dataset_split,benchmark_id,style,category,repetition,mutation_attempt,topic,call_type,model_name,status,input_chars,output_chars,est_input_tokens,est_output_tokens,est_cost_usd,estimation_method,pricing_source,input_price_per_1m_tokens,output_price_per_1m_tokens,tokens_estimated,cost_estimated
20260412T154910Z_attack57_baseline_full,2026-04-12T15:51:34+00:00,attack_eval,attack_history_run_57,riddle,disinfo,1,0,,judge,gemini-2.5-flash,ok,988,4,247,1,8.749999999999999e-05,chars_div_4_ceiling_v1,static_estimated_pricing_v1,0.35,1.05,True,True
20260412T154910Z_attack57_baseline_full,2026-04-12T15:51:41+00:00,attack_eval,attack_history_run_57,riddle,disinfo,2,0,,paraphraser,deepseek-chat,ok,2567,125,642,32,0.00020854000000000003,chars_div_4_ceiling_v1,static_estimated_pricing_v1,0.27,1.1,True,True
20260412T154910Z_attack57_baseline_full,2026-04-12T15:51:41+00:00,attack_eval,attack_history_run_57,riddle,disinfo,2,0,,target,gemini-2.5-flash,ok,169,507,43,127,0.0001484,chars_div_4_ceiling_v1,static_estimated_pricing_v1,0.35,1.05,True,True
20260412T154910Z_attack57_baseline_full,2026-04-12T15:51:41+00:00,attack_eval,attack_history_run_57,riddle,disinfo,2,0,,judge,gemini-2.5-flash,ok,969,4,243,1,8.609999999999999e-05,chars_div_4_ceiling_v1,static_estimated_pricing_v1,0.35,1.05,True,True
20260412T154910Z_attack57_baseline_full,2026-04-12T15:51:50+00:00,attack_eval,attack_history_run_57,riddle,disinfo,3,0,,paraphraser,deepseek-chat,ok,2223,112,556,28,0.00018092000000000002,chars_div_4_ceiling_v1,static_estimated_pricing_v1,0.27,1.1,True,True
20260412T154910Z_attack57_baseline_full,2026-04-12T15:51:50+00:00,attack_eval,attack_history_run_57,riddle,disinfo,3,0,,target,gemini-2.5-flash,ok,156,673,39,169,0.0001911,chars_div_4_ceiling_v1,static_estimated_pricing_v1,0.35,1.05,True,True
20260412T154910Z_attack57_baseline_full,2026-04-12T15:51:50+00:00,attack_eval,attack_history_run_57,riddle,disinfo,3,0,,judge,gemini-2.5-flash,ok,1135,4,284,1,0.00010044999999999999,chars_div_4_ceiling_v1,static_estimated_pricing_v1,0.35,1.05,True,True
20260412T154910Z_attack57_baseline_full,2026-04-12T15:51:59+00:00,attack_eval,attack_history_run_57,riddle,disinfo,4,0,,paraphraser,deepseek-chat,ok,3107,107,777,27,0.00023949,chars_div_4_ceiling_v1,static_estimated_pricing_v1,0.27,1.1,True,True
20260412T154910Z_attack57_baseline_full,2026-04-12T15:51:59+00:00,attack_eval,attack_history_run_57,riddle,disinfo,4,0,,target,gemini-2.5-flash,ok,151,583,38,146,0.0001666,chars_div_4_ceiling_v1,static_estimated_pricing_v1,0.35,1.05,True,True
20260412T154910Z_attack57_baseline_full,2026-04-12T15:51:59+00:00,attack_eval,attack_history_run_57,riddle,disinfo,4,0,,judge,gemini-2.5-flash,ok,1045,4,262,1,9.274999999999999e-05,chars_div_4_ceiling_v1,static_estimated_pricing_v1,0.35,1.05,True,True
